robot,axis,slope,intercept,residual_mean,residual_std,is_fitted
Robot A,axis_1,1.9693058264454945e-06,-0.006323857483045666,2.1316282072803004e-18,0.9999465348841567,True
Robot A,axis_2,-8.258447029013952e-08,-0.0400677464578781,3.1974423109204507e-18,1.0025161988917581,True
Robot A,axis_3,-1.8327833639854185e-07,0.012374965779277347,4.263256414560601e-18,0.9951429611711117,True
Robot A,axis_4,-3.6526981240555405e-06,0.03239502444814142,-4.263256414560601e-18,1.0130308663254697,True
Robot A,axis_5,5.310571854532431e-06,0.024622775260757842,-7.105427357601002e-19,1.0065687175453668,True
Robot A,axis_6,6.018123649966138e-06,-0.017622933910471393,-7.105427357601002e-19,0.9933210644430148,True
Robot A,axis_7,-1.6661266330601262e-06,0.0015872022865311627,7.815970093361103e-18,1.0028790523124311,True
Robot A,axis_8,2.662765576651515e-06,0.02845903615362847,7.105427357601002e-19,0.9913593791405009,True
Robot A,axis_9,,,,,False
Robot A,axis_10,,,,,False
Robot A,axis_11,,,,,False
Robot A,axis_12,,,,,False
Robot B,axis_1,-3.135003251322846e-06,0.0071561097286777925,-7.105427357601002e-19,0.9969755363679171,True
Robot B,axis_2,2.0750286223195473e-06,-0.05141630604318808,6.9277916736609765e-18,1.0063347208132238,True
Robot B,axis_3,-3.410761437035458e-07,0.01952346027812512,6.217248937900877e-18,0.9903759808199647,True
Robot B,axis_4,-3.50645398834608e-06,-0.020104378971988277,-2.3092638912203255e-18,1.013844425905468,True
Robot B,axis_5,-7.215790600325282e-07,-0.03586906446488214,-6.039613253960851e-18,0.9914513219962379,True
Robot B,axis_6,4.133245775023941e-06,0.006560783754587771,7.105427357601002e-18,0.998254102446029,True
Robot B,axis_7,-3.2831652083849495e-06,0.007496832628964877,7.105427357601002e-19,0.9977027310647313,True
Robot B,axis_8,-2.619454378166293e-06,0.07826463106588298,-1.1013412404281552e-17,1.0280704917776882,True
Robot B,axis_9,-2.058234133538572e-06,-0.009166277815436425,1.7763568394002505e-19,0.7749042179127803,True
Robot B,axis_10,1.217382891766232e-06,-0.048927828627520695,4.440892098500626e-18,0.7790584928752488,True
Robot B,axis_11,,,,,False
Robot B,axis_12,,,,,False
Robot C,axis_1,-2.2594632783585127e-06,0.018595732222917705,-1.4210854715202004e-18,0.9950707522905636,True
Robot C,axis_2,-1.5542280991516054e-06,0.054423359232606904,2.4868995751603506e-18,1.004107025275528,True
Robot C,axis_3,-1.4738827003377772e-06,0.03753273375922203,2.3092638912203255e-18,0.9968621835293768,True
Robot C,axis_4,1.2615852055786698e-06,-0.03700111408300882,3.552713678800501e-18,1.0092676703180035,True
Robot C,axis_5,2.4875261010447174e-06,-0.0003458696324455911,4.973799150320701e-18,1.0009732933371935,True
Robot C,axis_6,3.9808826568826075e-06,0.02102032532014175,-3.0198066269804256e-18,0.9896728127687704,True
Robot C,axis_7,-3.1382786596930816e-06,-0.022455708165707963,2.4868995751603506e-18,1.0010964858250349,True
Robot C,axis_8,-5.0443962544909146e-06,0.049543585102557686,-1.4210854715202004e-18,1.0078009534230161,True
Robot C,axis_9,-1.114376676346412e-06,-0.003169616401711388,3.1974423109204507e-18,0.777151523583606,True
Robot C,axis_10,3.0285999864378696e-07,0.028194817001636174,0.0,0.7850223126607555,True
Robot C,axis_11,1.2061129760073862e-06,0.029510560112546564,-7.460698725481051e-18,0.7729837600580287,True
Robot C,axis_12,-3.2600284115595393e-06,-0.003122139480235677,3.1974423109204507e-18,0.7211778210960287,True
Robot D,axis_1,-3.085115985269806e-07,0.018728362545581065,-4.973799150320701e-18,1.0053456499308586,True
Robot D,axis_2,3.426025176083439e-06,0.050298855058812625,2.4868995751603506e-18,1.0155209347346592,True
Robot D,axis_3,5.097212652297615e-06,0.010934856828807762,-3.552713678800501e-19,0.9975752348560644,True
Robot D,axis_4,4.126402327396365e-06,0.0343566961588557,4.263256414560601e-18,0.9948321275781201,True
Robot D,axis_5,2.0510805965456443e-06,-0.02633007266293838,2.4868995751603506e-18,0.9994541869745559,True
Robot D,axis_6,2.163396821868177e-06,-0.023150995818988548,-6.3948846218409015e-18,1.0215691707714287,True
Robot D,axis_7,-2.6610359830624367e-06,0.04940716692933608,4.085620730620576e-18,1.0000551799432618,True
Robot D,axis_8,-3.3634587796661314e-06,0.04229236670905617,1.2079226507921702e-17,0.9694954960866182,True
Robot D,axis_9,1.6943895632800293e-06,0.022494594100799452,-3.552713678800501e-19,0.7802788089125466,True
Robot D,axis_10,2.731733849673483e-06,0.012801113899874636,0.0,0.7838224623314248,True
Robot D,axis_11,3.4189151385296028e-06,-0.0018086280451156626,3.552713678800501e-19,0.7868867227258883,True
Robot D,axis_12,-3.6389361795824784e-06,0.05151465126435134,-7.460698725481051e-18,0.7145543318329219,True
